	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00187	0.860708	0.606531	0.472367	0.704688	0.406570	0.472367	0.522046	0.704688	0.778801	0.522046	0.637628	1.000000	0.951229	0.055023	0.316637	0.173774	0.951229	0.157237	0.201897	0.548812	0.472367	0.386741	0.472367	0.078082	0.496585	0.182684	0.301194	0.406570	0.055023	0.042852	0.110803	0.316637	0.142274	0.301194	0.670320	0.548812	0.496585	0.548812	0.449329	0.040762	0.116484	0.033373	0.332871	0.128735	0.212248	0.606531	0.496585	0.286505	0.023518	0.316637	0.078082	0.637628	0.182684	0.286505
D00188	0.904837	0.576950	0.449329	0.670320	0.427415	0.449329	0.496585	0.740818	0.740818	0.548812	0.606531	0.951229	1.000000	0.052340	0.332871	0.182684	0.904837	0.149569	0.212248	0.522046	0.449329	0.367879	0.449329	0.082085	0.472367	0.173774	0.316637	0.386741	0.052340	0.045049	0.116484	0.332871	0.149569	0.286505	0.637628	0.576950	0.472367	0.576950	0.472367	0.042852	0.122456	0.031746	0.316637	0.135335	0.223130	0.576950	0.472367	0.301194	0.024724	0.332871	0.082085	0.670320	0.192050	0.301194
D00211	0.052340	0.067206	0.063928	0.057844	0.074274	0.052340	0.057844	0.063928	0.063928	0.063928	0.052340	0.055023	0.052340	1.000000	0.095369	0.035084	0.057844	0.038774	0.060810	0.055023	0.052340	0.078082	0.070651	0.063928	0.055023	0.049787	0.049787	0.090718	0.045049	0.157237	0.122456	0.086294	0.047359	0.055023	0.074274	0.045049	0.090718	0.045049	0.074274	0.040762	0.105399	0.074274	0.090718	0.057844	0.042852	0.067206	0.082085	0.086294	0.105399	0.063928	0.116484	0.038774	0.100259	0.028725
D00246	0.367879	0.386741	0.272532	0.406570	0.637628	0.246597	0.272532	0.406570	0.406570	0.449329	0.367879	0.316637	0.332871	0.095369	1.000000	0.165299	0.332871	0.110803	0.192050	0.386741	0.246597	0.449329	0.449329	0.082085	0.259240	0.142274	0.192050	0.212248	0.031746	0.074274	0.116484	0.548812	0.122456	0.157237	0.427415	0.386741	0.472367	0.386741	0.386741	0.042852	0.182684	0.031746	0.427415	0.122456	0.149569	0.386741	0.427415	0.670320	0.027324	0.496585	0.100259	0.332871	0.142274	0.201897
D00279	0.182684	0.192050	0.223130	0.165299	0.157237	0.272532	0.182684	0.165299	0.182684	0.223130	0.149569	0.173774	0.182684	0.035084	0.165299	1.000000	0.182684	0.100259	0.472367	0.192050	0.272532	0.165299	0.223130	0.122456	0.173774	0.637628	0.316637	0.105399	0.105399	0.045049	0.086294	0.246597	0.246597	0.286505	0.173774	0.173774	0.234570	0.173774	0.234570	0.063928	0.182684	0.057844	0.157237	0.182684	0.122456	0.192050	0.212248	0.201897	0.020242	0.223130	0.090718	0.149569	0.142274	0.201897
D00299	0.904837	0.637628	0.496585	0.740818	0.427415	0.496585	0.548812	0.670320	0.818731	0.548812	0.670320	0.951229	0.904837	0.057844	0.332871	0.182684	1.000000	0.165299	0.212248	0.576950	0.496585	0.406570	0.496585	0.082085	0.522046	0.192050	0.316637	0.427415	0.057844	0.045049	0.116484	0.332871	0.149569	0.316637	0.704688	0.576950	0.522046	0.576950	0.472367	0.042852	0.122456	0.035084	0.349938	0.135335	0.223130	0.637628	0.522046	0.301194	0.024724	0.332871	0.082085	0.606531	0.192050	0.301194
D00312	0.149569	0.212248	0.301194	0.182684	0.142274	0.122456	0.246597	0.135335	0.182684	0.201897	0.182684	0.157237	0.149569	0.038774	0.110803	0.100259	0.165299	1.000000	0.105399	0.142274	0.122456	0.182684	0.165299	0.055023	0.234570	0.128735	0.105399	0.105399	0.063928	0.045049	0.057844	0.135335	0.090718	0.105399	0.157237	0.157237	0.234570	0.157237	0.259240	0.086294	0.067206	0.042852	0.157237	0.074274	0.272532	0.212248	0.234570	0.110803	0.074274	0.135335	0.090718	0.135335	0.142274	0.110803
D00316	0.212248	0.246597	0.234570	0.212248	0.182684	0.316637	0.192050	0.192050	0.234570	0.212248	0.192050	0.201897	0.212248	0.060810	0.192050	0.472367	0.212248	0.105399	1.000000	0.182684	0.316637	0.192050	0.212248	0.128735	0.182684	0.332871	0.449329	0.135335	0.100259	0.070651	0.135335	0.192050	0.286505	0.449329	0.201897	0.223130	0.272532	0.223130	0.301194	0.049787	0.142274	0.049787	0.201897	0.173774	0.105399	0.246597	0.272532	0.173774	0.028725	0.212248	0.105399	0.192050	0.122456	0.212248
D00327	0.576950	0.548812	0.427415	0.704688	0.496585	0.349938	0.472367	0.576950	0.704688	0.576950	0.637628	0.548812	0.522046	0.055023	0.386741	0.192050	0.576950	0.142274	0.182684	1.000000	0.349938	0.386741	0.472367	0.078082	0.449329	0.201897	0.246597	0.367879	0.060810	0.047359	0.090718	0.472367	0.116484	0.246597	0.606531	0.548812	0.496585	0.548812	0.449329	0.060810	0.157237	0.036883	0.332871	0.095369	0.286505	0.548812	0.496585	0.472367	0.023518	0.386741	0.086294	0.472367	0.201897	0.259240
D00348	0.449329	0.472367	0.367879	0.449329	0.259240	1.000000	0.301194	0.367879	0.496585	0.367879	0.406570	0.472367	0.449329	0.052340	0.246597	0.272532	0.496585	0.122456	0.316637	0.349938	1.000000	0.332871	0.332871	0.100259	0.286505	0.259240	0.316637	0.259240	0.105399	0.045049	0.142274	0.246597	0.272532	0.349938	0.427415	0.349938	0.427415	0.349938	0.386741	0.047359	0.110803	0.047359	0.286505	0.201897	0.122456	0.472367	0.427415	0.223130	0.036883	0.246597	0.060810	0.301194	0.128735	0.406570
D00443	0.406570	0.576950	0.332871	0.449329	0.349938	0.332871	0.272532	0.332871	0.496585	0.406570	0.406570	0.386741	0.367879	0.078082	0.449329	0.165299	0.406570	0.182684	0.192050	0.386741	0.332871	1.000000	0.406570	0.074274	0.259240	0.212248	0.212248	0.234570	0.047359	0.060810	0.105399	0.449329	0.135335	0.212248	0.386741	0.349938	0.637628	0.349938	0.522046	0.042852	0.110803	0.038774	0.637628	0.149569	0.135335	0.576950	0.637628	0.406570	0.027324	0.332871	0.100259	0.301194	0.128735	0.201897
D00462	0.449329	0.427415	0.496585	0.548812	0.427415	0.332871	0.496585	0.449329	0.548812	0.670320	0.496585	0.472367	0.449329	0.070651	0.449329	0.223130	0.496585	0.165299	0.212248	0.472367	0.332871	0.406570	1.000000	0.100259	0.472367	0.192050	0.192050	0.286505	0.052340	0.074274	0.142274	0.406570	0.182684	0.192050	0.472367	0.427415	0.427415	0.427415	0.386741	0.047359	0.135335	0.035084	0.349938	0.182684	0.246597	0.427415	0.427415	0.406570	0.033373	0.367879	0.122456	0.367879	0.259240	0.332871
D00506	0.082085	0.105399	0.110803	0.090718	0.095369	0.100259	0.110803	0.100259	0.090718	0.110803	0.090718	0.078082	0.082085	0.063928	0.082085	0.122456	0.082085	0.055023	0.128735	0.078082	0.100259	0.074274	0.100259	1.000000	0.105399	0.128735	0.142274	0.070651	0.128735	0.100259	0.095369	0.060810	0.135335	0.142274	0.095369	0.105399	0.086294	0.105399	0.116484	0.086294	0.067206	0.157237	0.070651	0.110803	0.060810	0.105399	0.086294	0.060810	0.074274	0.060810	0.067206	0.090718	0.086294	0.100259
D00554	0.472367	0.406570	0.778801	0.576950	0.367879	0.286505	0.951229	0.472367	0.522046	0.576950	0.637628	0.496585	0.472367	0.055023	0.259240	0.173774	0.522046	0.234570	0.182684	0.449329	0.286505	0.259240	0.472367	0.105399	1.000000	0.182684	0.301194	0.332871	0.060810	0.063928	0.122456	0.259240	0.173774	0.301194	0.496585	0.548812	0.332871	0.548812	0.406570	0.060810	0.128735	0.036883	0.223130	0.142274	0.386741	0.406570	0.367879	0.212248	0.028725	0.234570	0.128735	0.522046	0.301194	0.349938
D00565	0.173774	0.223130	0.234570	0.173774	0.149569	0.259240	0.192050	0.157237	0.192050	0.234570	0.157237	0.182684	0.173774	0.049787	0.142274	0.637628	0.192050	0.128735	0.332871	0.201897	0.259240	0.212248	0.192050	0.128735	0.182684	1.000000	0.301194	0.110803	0.122456	0.052340	0.082085	0.259240	0.173774	0.367879	0.182684	0.149569	0.301194	0.149569	0.246597	0.082085	0.173774	0.074274	0.201897	0.157237	0.105399	0.223130	0.272532	0.192050	0.025991	0.192050	0.095369	0.128735	0.122456	0.157237
D00577	0.316637	0.301194	0.316637	0.316637	0.223130	0.316637	0.316637	0.286505	0.316637	0.259240	0.286505	0.301194	0.316637	0.049787	0.192050	0.316637	0.316637	0.105399	0.449329	0.246597	0.316637	0.212248	0.192050	0.142274	0.301194	0.301194	1.000000	0.165299	0.082085	0.057844	0.122456	0.173774	0.212248	0.818731	0.301194	0.332871	0.246597	0.332871	0.301194	0.055023	0.173774	0.040762	0.182684	0.128735	0.142274	0.301194	0.246597	0.142274	0.028725	0.173774	0.105399	0.316637	0.110803	0.286505
D00585	0.427415	0.367879	0.316637	0.472367	0.272532	0.259240	0.316637	0.349938	0.472367	0.316637	0.472367	0.406570	0.386741	0.090718	0.212248	0.105399	0.427415	0.105399	0.135335	0.367879	0.259240	0.234570	0.286505	0.070651	0.332871	0.110803	0.165299	1.000000	0.067206	0.078082	0.149569	0.234570	0.142274	0.165299	0.367879	0.406570	0.301194	0.406570	0.301194	0.045049	0.142274	0.049787	0.223130	0.105399	0.157237	0.367879	0.332871	0.192050	0.042852	0.212248	0.095369	0.349938	0.246597	0.173774
D00586	0.052340	0.074274	0.078082	0.057844	0.040762	0.105399	0.063928	0.047359	0.057844	0.057844	0.052340	0.055023	0.052340	0.045049	0.031746	0.105399	0.057844	0.063928	0.100259	0.060810	0.105399	0.047359	0.052340	0.128735	0.060810	0.122456	0.082085	0.067206	1.000000	0.042852	0.060810	0.042852	0.128735	0.100259	0.055023	0.049787	0.060810	0.049787	0.067206	0.122456	0.038774	0.406570	0.040762	0.057844	0.057844	0.074274	0.060810	0.038774	0.057844	0.038774	0.035084	0.042852	0.067206	0.070651
D00596	0.045049	0.047359	0.067206	0.055023	0.070651	0.045049	0.067206	0.055023	0.049787	0.074274	0.055023	0.042852	0.045049	0.157237	0.074274	0.045049	0.045049	0.045049	0.070651	0.047359	0.045049	0.060810	0.074274	0.100259	0.063928	0.052340	0.057844	0.078082	0.042852	1.000000	0.116484	0.060810	0.100259	0.063928	0.052340	0.052340	0.057844	0.052340	0.070651	0.070651	0.135335	0.057844	0.057844	0.082085	0.060810	0.047359	0.057844	0.067206	0.100259	0.060810	0.201897	0.045049	0.142274	0.055023
D00627	0.116484	0.122456	0.157237	0.116484	0.082085	0.142274	0.128735	0.095369	0.128735	0.142274	0.105399	0.110803	0.116484	0.122456	0.116484	0.086294	0.116484	0.057844	0.135335	0.090718	0.142274	0.105399	0.142274	0.095369	0.122456	0.082085	0.122456	0.149569	0.060810	0.116484	1.000000	0.105399	0.157237	0.110803	0.100259	0.110803	0.110803	0.110803	0.122456	0.036883	0.070651	0.067206	0.110803	0.192050	0.070651	0.122456	0.110803	0.095369	0.116484	0.086294	0.192050	0.095369	0.149569	0.142274
D00690	0.367879	0.386741	0.301194	0.406570	0.427415	0.246597	0.272532	0.332871	0.406570	0.406570	0.367879	0.316637	0.332871	0.086294	0.548812	0.246597	0.332871	0.135335	0.192050	0.472367	0.246597	0.449329	0.406570	0.060810	0.259240	0.259240	0.173774	0.234570	0.042852	0.060810	0.105399	1.000000	0.122456	0.157237	0.349938	0.349938	0.522046	0.349938	0.472367	0.052340	0.201897	0.035084	0.427415	0.110803	0.182684	0.386741	0.472367	0.740818	0.024724	0.548812	0.110803	0.301194	0.212248	0.182684
D00730	0.149569	0.173774	0.223130	0.165299	0.128735	0.272532	0.182684	0.122456	0.165299	0.182684	0.165299	0.142274	0.149569	0.047359	0.122456	0.246597	0.149569	0.090718	0.286505	0.116484	0.272532	0.135335	0.182684	0.135335	0.173774	0.173774	0.212248	0.142274	0.128735	0.100259	0.157237	0.122456	1.000000	0.212248	0.128735	0.173774	0.173774	0.173774	0.234570	0.078082	0.110803	0.052340	0.128735	0.246597	0.090718	0.173774	0.173774	0.110803	0.045049	0.135335	0.090718	0.149569	0.142274	0.367879
D00898	0.286505	0.301194	0.316637	0.316637	0.201897	0.349938	0.316637	0.259240	0.316637	0.234570	0.286505	0.301194	0.286505	0.055023	0.157237	0.286505	0.316637	0.105399	0.449329	0.246597	0.349938	0.212248	0.192050	0.142274	0.301194	0.367879	0.818731	0.165299	0.100259	0.063928	0.110803	0.157237	0.212248	1.000000	0.301194	0.272532	0.246597	0.272532	0.272532	0.060810	0.142274	0.049787	0.182684	0.128735	0.128735	0.301194	0.246597	0.128735	0.028725	0.142274	0.105399	0.259240	0.100259	0.234570
D00930	0.637628	0.548812	0.472367	0.637628	0.548812	0.427415	0.522046	0.860708	0.637628	0.576950	0.576950	0.670320	0.637628	0.074274	0.427415	0.173774	0.704688	0.157237	0.201897	0.606531	0.427415	0.386741	0.472367	0.095369	0.496585	0.182684	0.301194	0.367879	0.055023	0.052340	0.100259	0.349938	0.128735	0.301194	1.000000	0.496585	0.496585	0.496585	0.449329	0.045049	0.157237	0.036883	0.332871	0.116484	0.234570	0.548812	0.496585	0.349938	0.028725	0.349938	0.086294	0.472367	0.182684	0.259240
D00950	0.637628	0.548812	0.522046	0.778801	0.496585	0.349938	0.522046	0.522046	0.704688	0.522046	0.860708	0.548812	0.576950	0.045049	0.386741	0.173774	0.576950	0.157237	0.223130	0.548812	0.349938	0.349938	0.427415	0.105399	0.548812	0.149569	0.332871	0.406570	0.049787	0.052340	0.110803	0.349938	0.173774	0.272532	0.496585	1.000000	0.449329	1.000000	0.548812	0.045049	0.157237	0.030197	0.301194	0.128735	0.234570	0.548812	0.496585	0.316637	0.021280	0.386741	0.095369	0.860708	0.223130	0.386741
D00951	0.522046	0.740818	0.427415	0.576950	0.496585	0.427415	0.349938	0.427415	0.637628	0.522046	0.522046	0.496585	0.472367	0.090718	0.472367	0.234570	0.522046	0.234570	0.272532	0.496585	0.427415	0.637628	0.427415	0.086294	0.332871	0.301194	0.246597	0.301194	0.060810	0.057844	0.110803	0.522046	0.173774	0.246597	0.496585	0.449329	1.000000	0.449329	0.740818	0.045049	0.157237	0.040762	0.606531	0.142274	0.157237	0.740818	0.904837	0.472367	0.028725	0.522046	0.095369	0.386741	0.182684	0.234570
D00954	0.637628	0.548812	0.522046	0.778801	0.496585	0.349938	0.522046	0.522046	0.704688	0.522046	0.860708	0.548812	0.576950	0.045049	0.386741	0.173774	0.576950	0.157237	0.223130	0.548812	0.349938	0.349938	0.427415	0.105399	0.548812	0.149569	0.332871	0.406570	0.049787	0.052340	0.110803	0.349938	0.173774	0.272532	0.496585	1.000000	0.449329	1.000000	0.548812	0.045049	0.157237	0.030197	0.301194	0.128735	0.234570	0.548812	0.496585	0.316637	0.021280	0.386741	0.095369	0.860708	0.223130	0.386741
D00956	0.522046	0.670320	0.522046	0.576950	0.449329	0.386741	0.427415	0.427415	0.576950	0.472367	0.576950	0.449329	0.472367	0.074274	0.386741	0.234570	0.472367	0.259240	0.301194	0.449329	0.386741	0.522046	0.386741	0.116484	0.406570	0.246597	0.301194	0.301194	0.067206	0.070651	0.122456	0.472367	0.234570	0.272532	0.449329	0.548812	0.740818	0.548812	1.000000	0.049787	0.157237	0.040762	0.496585	0.157237	0.212248	0.670320	0.740818	0.386741	0.028725	0.427415	0.116484	0.472367	0.246597	0.286505
D00961	0.042852	0.040762	0.057844	0.047359	0.060810	0.047359	0.063928	0.047359	0.047359	0.063928	0.047359	0.040762	0.042852	0.040762	0.042852	0.063928	0.042852	0.086294	0.049787	0.060810	0.047359	0.042852	0.047359	0.086294	0.060810	0.082085	0.055023	0.045049	0.122456	0.070651	0.036883	0.052340	0.078082	0.060810	0.045049	0.045049	0.045049	0.045049	0.049787	1.000000	0.063928	0.074274	0.027324	0.047359	0.128735	0.040762	0.040762	0.052340	0.086294	0.042852	0.042852	0.038774	0.067206	0.052340
D00962	0.122456	0.116484	0.122456	0.149569	0.234570	0.110803	0.135335	0.165299	0.135335	0.165299	0.135335	0.116484	0.122456	0.105399	0.182684	0.182684	0.122456	0.067206	0.142274	0.157237	0.110803	0.110803	0.135335	0.067206	0.128735	0.173774	0.173774	0.142274	0.038774	0.135335	0.070651	0.201897	0.110803	0.142274	0.157237	0.157237	0.157237	0.157237	0.157237	0.063928	1.000000	0.031746	0.105399	0.074274	0.122456	0.116484	0.142274	0.182684	0.036883	0.223130	0.165299	0.135335	0.234570	0.122456
D00965	0.031746	0.045049	0.047359	0.035084	0.030197	0.047359	0.038774	0.031746	0.035084	0.038774	0.031746	0.033373	0.031746	0.074274	0.031746	0.057844	0.035084	0.042852	0.049787	0.036883	0.047359	0.038774	0.035084	0.157237	0.036883	0.074274	0.040762	0.049787	0.406570	0.057844	0.067206	0.035084	0.052340	0.049787	0.036883	0.030197	0.040762	0.030197	0.040762	0.074274	0.031746	1.000000	0.036883	0.038774	0.035084	0.045049	0.040762	0.038774	0.057844	0.025991	0.047359	0.025991	0.045049	0.028725
D01115	0.349938	0.496585	0.286505	0.386741	0.301194	0.286505	0.234570	0.286505	0.427415	0.349938	0.349938	0.332871	0.316637	0.090718	0.427415	0.157237	0.349938	0.157237	0.201897	0.332871	0.286505	0.637628	0.349938	0.070651	0.223130	0.201897	0.182684	0.223130	0.040762	0.057844	0.110803	0.427415	0.128735	0.182684	0.332871	0.301194	0.606531	0.301194	0.496585	0.027324	0.105399	0.036883	1.000000	0.128735	0.105399	0.496585	0.606531	0.427415	0.025991	0.316637	0.086294	0.259240	0.122456	0.173774
D01132	0.135335	0.142274	0.165299	0.122456	0.095369	0.201897	0.135335	0.110803	0.135335	0.149569	0.122456	0.128735	0.135335	0.057844	0.122456	0.182684	0.135335	0.074274	0.173774	0.095369	0.201897	0.149569	0.182684	0.110803	0.142274	0.157237	0.128735	0.105399	0.057844	0.082085	0.192050	0.110803	0.246597	0.128735	0.116484	0.128735	0.142274	0.128735	0.157237	0.047359	0.074274	0.038774	0.128735	1.000000	0.082085	0.142274	0.157237	0.110803	0.049787	0.122456	0.122456	0.110803	0.105399	0.149569
D01161	0.223130	0.173774	0.332871	0.246597	0.212248	0.122456	0.406570	0.246597	0.223130	0.301194	0.246597	0.212248	0.223130	0.042852	0.149569	0.122456	0.223130	0.272532	0.105399	0.286505	0.122456	0.135335	0.246597	0.060810	0.386741	0.105399	0.142274	0.157237	0.057844	0.060810	0.070651	0.182684	0.090718	0.128735	0.234570	0.234570	0.157237	0.234570	0.212248	0.128735	0.122456	0.035084	0.105399	0.082085	1.000000	0.173774	0.157237	0.165299	0.055023	0.182684	0.122456	0.223130	0.286505	0.165299
D01217	0.637628	1.000000	0.522046	0.704688	0.449329	0.472367	0.427415	0.472367	0.778801	0.472367	0.637628	0.606531	0.576950	0.067206	0.386741	0.192050	0.637628	0.212248	0.246597	0.548812	0.472367	0.576950	0.427415	0.105399	0.406570	0.223130	0.301194	0.367879	0.074274	0.047359	0.122456	0.386741	0.173774	0.301194	0.548812	0.548812	0.740818	0.548812	0.670320	0.040762	0.116484	0.045049	0.496585	0.142274	0.173774	1.000000	0.740818	0.349938	0.031746	0.386741	0.086294	0.472367	0.165299	0.259240
D01294	0.522046	0.740818	0.427415	0.576950	0.449329	0.427415	0.349938	0.427415	0.637628	0.522046	0.576950	0.496585	0.472367	0.082085	0.427415	0.212248	0.522046	0.234570	0.272532	0.496585	0.427415	0.637628	0.427415	0.086294	0.367879	0.272532	0.246597	0.332871	0.060810	0.057844	0.110803	0.472367	0.173774	0.246597	0.496585	0.496585	0.904837	0.496585	0.740818	0.040762	0.142274	0.040762	0.606531	0.157237	0.157237	0.740818	1.000000	0.427415	0.028725	0.472367	0.095369	0.427415	0.182684	0.234570
D01387	0.332871	0.349938	0.246597	0.367879	0.472367	0.223130	0.223130	0.332871	0.367879	0.367879	0.332871	0.286505	0.301194	0.086294	0.670320	0.201897	0.301194	0.110803	0.173774	0.472367	0.223130	0.406570	0.406570	0.060810	0.212248	0.192050	0.142274	0.192050	0.038774	0.067206	0.095369	0.740818	0.110803	0.128735	0.349938	0.316637	0.472367	0.316637	0.386741	0.052340	0.182684	0.038774	0.427415	0.110803	0.165299	0.349938	0.427415	1.000000	0.022371	0.496585	0.100259	0.272532	0.157237	0.165299
D01441	0.024724	0.031746	0.033373	0.024724	0.028725	0.036883	0.030197	0.027324	0.027324	0.036883	0.022371	0.023518	0.024724	0.105399	0.027324	0.020242	0.024724	0.074274	0.028725	0.023518	0.036883	0.027324	0.033373	0.074274	0.028725	0.025991	0.028725	0.042852	0.057844	0.100259	0.116484	0.024724	0.045049	0.028725	0.028725	0.021280	0.028725	0.021280	0.028725	0.086294	0.036883	0.057844	0.025991	0.049787	0.055023	0.031746	0.028725	0.022371	1.000000	0.024724	0.067206	0.018316	0.052340	0.030197
