	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00279	0.067568	0.090909	0.112903	0.078125	0.095890	0.095238	0.095238	0.074074	0.090909	0.070423	0.072464	0.051282	0.050633	0.070796	0.107143	1.000000	0.053333	0.115942	0.190476	0.072464	0.095238	0.093333	0.078125	0.145833	0.089552	0.547619	0.170732	0.085366	0.135593	0.148649	0.137500	0.126437	0.260870	0.119048	0.095890	0.100000	0.112676	0.100000	0.116883	0.142857	0.218750	0.093750	0.100000	0.188406	0.108434	0.088235	0.093333	0.114943	0.112360	0.179487	0.136986	0.080000	0.164384	0.146341
D00299	0.225000	0.137500	0.128205	0.173333	0.125000	0.142857	0.173333	0.413333	0.181818	0.187500	0.120482	0.711864	0.457143	0.102362	0.098039	0.053333	1.000000	0.129412	0.044444	0.148148	0.142857	0.134831	0.142857	0.057143	0.121951	0.076923	0.046875	0.102041	0.061728	0.083333	0.047619	0.125000	0.040541	0.064516	0.571429	0.116279	0.139535	0.116279	0.129032	0.053191	0.054348	0.047059	0.126316	0.074468	0.132653	0.134146	0.109890	0.126214	0.044248	0.110000	0.051546	0.111111	0.181818	0.031250
D00312	0.156627	0.236111	0.653846	0.246377	0.197531	0.102564	0.409836	0.106383	0.186667	0.107143	0.246575	0.112360	0.098901	0.104000	0.157895	0.115942	0.129412	1.000000	0.095238	0.197368	0.102564	0.164706	0.162162	0.125000	0.384615	0.108108	0.083333	0.164835	0.090909	0.120879	0.069307	0.173469	0.102941	0.084746	0.114943	0.205128	0.246753	0.205128	0.226190	0.102273	0.091954	0.129870	0.166667	0.125000	0.211111	0.181818	0.207317	0.163265	0.104762	0.211111	0.111111	0.166667	0.416667	0.032258
D00316	0.056180	0.101266	0.090909	0.076923	0.091954	0.312500	0.076923	0.051546	0.087500	0.058140	0.072289	0.043011	0.053763	0.114754	0.080000	0.190476	0.044444	0.095238	1.000000	0.072289	0.312500	0.089888	0.063291	0.093750	0.073171	0.095890	0.105263	0.072165	0.093333	0.111111	0.115789	0.076190	0.158730	0.087719	0.055556	0.095238	0.105882	0.095238	0.122222	0.104651	0.107143	0.062500	0.084211	0.168675	0.091837	0.098765	0.089888	0.108911	0.106796	0.126316	0.088889	0.066667	0.111111	0.107143
D00327	0.177215	0.343750	0.238806	0.406780	0.382353	0.121622	0.220588	0.122222	0.211268	0.153846	0.294118	0.142857	0.127907	0.106557	0.215909	0.072464	0.148148	0.197368	0.072289	1.000000	0.121622	0.297297	0.276923	0.095238	0.225352	0.067568	0.068966	0.256098	0.080000	0.112360	0.050000	0.244444	0.074627	0.070175	0.146341	0.263889	0.273973	0.263889	0.204819	0.080460	0.069767	0.105263	0.324675	0.103448	0.177778	0.294118	0.185185	0.337349	0.056075	0.247059	0.054348	0.172840	0.207317	0.051724
D00348	0.086420	0.157143	0.130435	0.130435	0.126582	1.000000	0.114286	0.129412	0.140845	0.133333	0.121622	0.137500	0.135802	0.101695	0.096774	0.095238	0.142857	0.102564	0.312500	0.121622	1.000000	0.137500	0.130435	0.084746	0.108108	0.072464	0.055556	0.101124	0.085714	0.119048	0.075269	0.091837	0.080645	0.076923	0.141026	0.102564	0.142857	0.102564	0.130952	0.059524	0.074074	0.067568	0.114943	0.137500	0.086022	0.152778	0.137500	0.139785	0.080000	0.122222	0.069767	0.097561	0.132530	0.098039
D00443	0.188235	0.382353	0.197368	0.378788	0.324675	0.137500	0.166667	0.112245	0.253333	0.152941	0.263158	0.118280	0.117021	0.134921	0.185567	0.093333	0.134831	0.164706	0.089888	0.297297	0.137500	1.000000	0.246575	0.084507	0.187500	0.087500	0.060606	0.206522	0.072289	0.091837	0.056075	0.176471	0.081081	0.061538	0.133333	0.207317	0.328947	0.207317	0.200000	0.085106	0.063830	0.082353	0.447368	0.106383	0.163265	0.315068	0.209302	0.202020	0.090090	0.225806	0.071429	0.131868	0.188889	0.061538
D00462	0.205479	0.265625	0.200000	0.278689	0.236111	0.130435	0.200000	0.129412	0.246154	0.180556	0.296875	0.137500	0.135802	0.083333	0.159091	0.078125	0.142857	0.162162	0.063291	0.276923	0.130435	0.246575	1.000000	0.084746	0.261538	0.088235	0.055556	0.180723	0.055556	0.105882	0.041667	0.138298	0.063492	0.056604	0.155844	0.194444	0.239437	0.194444	0.187500	0.059524	0.048193	0.082192	0.212500	0.109756	0.147727	0.202899	0.213333	0.152174	0.080000	0.188235	0.045455	0.153846	0.205128	0.056604
D00506	0.072464	0.098361	0.142857	0.103448	0.102941	0.084746	0.103448	0.051282	0.080645	0.075758	0.095238	0.054795	0.054054	0.074074	0.113924	0.145833	0.057143	0.125000	0.093750	0.095238	0.084746	0.084507	0.084746	1.000000	0.096774	0.090909	0.162162	0.090909	0.087719	0.176471	0.146667	0.107143	0.152174	0.105263	0.056338	0.142857	0.088235	0.142857	0.157143	0.086957	0.158730	0.140351	0.077922	0.115942	0.087500	0.095238	0.069444	0.082353	0.080460	0.101266	0.068493	0.101449	0.111111	0.166667
D00554	0.164557	0.214286	0.576923	0.223881	0.240000	0.108108	0.576923	0.123596	0.180556	0.126582	0.500000	0.117647	0.116279	0.080645	0.152174	0.089552	0.121951	0.384615	0.073171	0.225352	0.108108	0.187500	0.261538	0.096774	1.000000	0.083333	0.150943	0.243902	0.081081	0.076923	0.061224	0.132653	0.075758	0.153846	0.134146	0.343284	0.226667	0.343284	0.192771	0.081395	0.058140	0.092105	0.160920	0.130952	0.280488	0.175676	0.319444	0.134021	0.087379	0.193182	0.116279	0.323944	0.380282	0.034483
D00565	0.090909	0.100000	0.104478	0.088235	0.075949	0.072464	0.104478	0.082353	0.100000	0.080000	0.067568	0.074074	0.060241	0.058824	0.076923	0.547619	0.076923	0.108108	0.095890	0.067568	0.072464	0.087500	0.088235	0.090909	0.083333	1.000000	0.152174	0.080460	0.161290	0.125000	0.090909	0.095745	0.211538	0.155556	0.103896	0.064935	0.105263	0.064935	0.109756	0.133333	0.202899	0.086957	0.094118	0.129870	0.089888	0.082192	0.087500	0.085106	0.118280	0.102273	0.173333	0.048780	0.153846	0.083333
D00577	0.080645	0.071429	0.163265	0.075472	0.079365	0.055556	0.163265	0.056338	0.071429	0.049180	0.087719	0.044776	0.059701	0.058252	0.080000	0.170732	0.046875	0.083333	0.105263	0.068966	0.055556	0.060606	0.055556	0.162162	0.150943	0.152174	1.000000	0.069444	0.100000	0.089552	0.097222	0.075000	0.243243	0.458333	0.062500	0.101695	0.063492	0.101695	0.088235	0.096774	0.157895	0.074074	0.055556	0.147541	0.126761	0.068966	0.060606	0.062500	0.101266	0.081081	0.183333	0.095238	0.106061	0.129032
D00585	0.125000	0.216867	0.195122	0.225000	0.252874	0.101124	0.166667	0.104762	0.147727	0.117021	0.320513	0.110000	0.108911	0.079137	0.184466	0.085366	0.102041	0.164835	0.072165	0.256098	0.101124	0.206522	0.180723	0.090909	0.243902	0.080460	0.069444	1.000000	0.066667	0.106796	0.052632	0.175926	0.087500	0.070423	0.101010	0.277108	0.227273	0.277108	0.223404	0.079208	0.070000	0.087912	0.206186	0.110000	0.152381	0.211765	0.180851	0.188679	0.057851	0.174757	0.056604	0.195652	0.163265	0.041096
D00586	0.088608	0.082192	0.101449	0.070423	0.087500	0.085714	0.085714	0.080460	0.082192	0.092105	0.080000	0.059524	0.071429	0.049180	0.075269	0.135593	0.061728	0.090909	0.093333	0.080000	0.085714	0.072289	0.055556	0.087719	0.081081	0.161290	0.100000	0.066667	1.000000	0.082353	0.088889	0.071429	0.120690	0.102041	0.074074	0.076923	0.075000	0.076923	0.094118	0.338462	0.103896	0.400000	0.079545	0.098765	0.112360	0.094595	0.085366	0.072165	0.139785	0.064516	0.084337	0.047619	0.095238	0.080000
D00596	0.083333	0.114943	0.105882	0.105882	0.105263	0.119048	0.093023	0.066667	0.102273	0.097826	0.087912	0.080808	0.069307	0.106061	0.102804	0.148649	0.083333	0.120879	0.111111	0.112360	0.119048	0.091837	0.105882	0.176471	0.076923	0.125000	0.089552	0.106796	0.082353	1.000000	0.148515	0.128440	0.152778	0.090909	0.071429	0.096774	0.118280	0.096774	0.180851	0.093750	0.256098	0.091954	0.097087	0.150538	0.103774	0.112360	0.091837	0.099099	0.137615	0.114286	0.173913	0.070707	0.170213	0.090909
D00627	0.047619	0.061856	0.086957	0.052632	0.077670	0.075269	0.063830	0.035088	0.061856	0.059406	0.060606	0.036697	0.036364	0.078014	0.097345	0.137500	0.047619	0.069307	0.115789	0.050000	0.075269	0.056075	0.041667	0.146667	0.061224	0.090909	0.097222	0.052632	0.088889	0.148515	1.000000	0.093220	0.126582	0.068493	0.037383	0.080000	0.057692	0.080000	0.135922	0.088235	0.135417	0.074468	0.053097	0.118812	0.069565	0.060606	0.056075	0.057851	0.203704	0.098214	0.117647	0.066667	0.094340	0.114286
D00690	0.125000	0.182796	0.163043	0.202247	0.229167	0.091837	0.150538	0.106195	0.145833	0.128713	0.154639	0.111111	0.100000	0.111888	0.284314	0.126437	0.125000	0.173469	0.076190	0.244444	0.091837	0.176471	0.138298	0.107143	0.132653	0.095745	0.075000	0.175926	0.071429	0.128440	0.093220	1.000000	0.116279	0.062500	0.134615	0.150000	0.218750	0.150000	0.203883	0.072727	0.115385	0.090909	0.200000	0.121495	0.130435	0.166667	0.153846	0.391753	0.122951	0.300000	0.090090	0.122642	0.194175	0.075949
D00730	0.084507	0.093750	0.098361	0.098361	0.098592	0.080645	0.098361	0.062500	0.093750	0.072464	0.074627	0.038961	0.065789	0.062500	0.109756	0.260870	0.040541	0.102941	0.158730	0.074627	0.080645	0.081081	0.063492	0.152174	0.075758	0.211538	0.243243	0.087500	0.120690	0.152778	0.126582	0.116279	1.000000	0.184211	0.054054	0.102941	0.115942	0.102941	0.120000	0.114286	0.225806	0.079365	0.102564	0.230769	0.097561	0.090909	0.095890	0.104651	0.114943	0.139241	0.173913	0.097222	0.152778	0.250000
D00898	0.064516	0.072727	0.166667	0.076923	0.080645	0.076923	0.166667	0.057143	0.072727	0.032787	0.089286	0.061538	0.060606	0.058824	0.066667	0.119048	0.064516	0.084746	0.087719	0.070175	0.076923	0.061538	0.056604	0.105263	0.153846	0.155556	0.458333	0.070423	0.102041	0.090909	0.068493	0.062500	0.184211	1.000000	0.063492	0.066667	0.064516	0.066667	0.073529	0.080645	0.120690	0.075472	0.071429	0.112903	0.112676	0.070175	0.061538	0.050000	0.088608	0.067568	0.166667	0.062500	0.090909	0.062500
D00930	0.237500	0.150000	0.141026	0.171053	0.149425	0.141026	0.171053	0.507042	0.179487	0.215190	0.132530	0.545455	0.450704	0.084615	0.130000	0.095890	0.571429	0.114943	0.055556	0.146341	0.141026	0.133333	0.155844	0.056338	0.134146	0.103896	0.062500	0.101010	0.074074	0.071429	0.037383	0.134615	0.054054	0.063492	1.000000	0.154762	0.137931	0.154762	0.139785	0.098901	0.076923	0.058824	0.125000	0.085106	0.142857	0.132530	0.120879	0.158416	0.043860	0.142857	0.051020	0.147727	0.179775	0.046875
D00950	0.156627	0.271429	0.228571	0.283582	0.276316	0.102564	0.194444	0.130435	0.171053	0.134146	0.716981	0.112360	0.123596	0.078125	0.182796	0.100000	0.116279	0.205128	0.095238	0.263889	0.102564	0.207317	0.194444	0.142857	0.343284	0.064935	0.101695	0.277108	0.076923	0.096774	0.080000	0.150000	0.102941	0.066667	0.154762	1.000000	0.230769	1.000000	0.410959	0.114943	0.091954	0.074074	0.193182	0.125000	0.147368	0.229730	0.356164	0.163265	0.074074	0.211111	0.063830	0.484848	0.186047	0.084746
D00951	0.180723	0.378788	0.239437	0.353846	0.337838	0.142857	0.173333	0.115789	0.246575	0.158537	0.309859	0.109890	0.108696	0.129032	0.191489	0.112676	0.139535	0.246753	0.105882	0.273973	0.142857	0.328947	0.239437	0.088235	0.226667	0.105263	0.063492	0.227273	0.075000	0.118280	0.057692	0.218750	0.115942	0.064516	0.137931	0.230769	1.000000	0.230769	0.235294	0.076087	0.102273	0.085366	0.289157	0.134831	0.132653	0.328571	0.311688	0.234043	0.072727	0.290698	0.085106	0.149425	0.223529	0.064516
D00954	0.156627	0.271429	0.228571	0.283582	0.276316	0.102564	0.194444	0.130435	0.171053	0.134146	0.716981	0.112360	0.123596	0.078125	0.182796	0.100000	0.116279	0.205128	0.095238	0.263889	0.102564	0.207317	0.194444	0.142857	0.343284	0.064935	0.101695	0.277108	0.076923	0.096774	0.080000	0.150000	0.102941	0.066667	0.154762	1.000000	0.230769	1.000000	0.410959	0.114943	0.091954	0.074074	0.193182	0.125000	0.147368	0.229730	0.356164	0.163265	0.074074	0.211111	0.063830	0.484848	0.186047	0.084746
D00956	0.193182	0.324324	0.233766	0.319444	0.247059	0.130952	0.266667	0.118812	0.225000	0.200000	0.428571	0.125000	0.123711	0.113636	0.178218	0.116883	0.129032	0.226190	0.122222	0.204819	0.130952	0.200000	0.187500	0.157143	0.192771	0.109756	0.088235	0.223404	0.094118	0.180851	0.135922	0.203883	0.120000	0.073529	0.139785	0.410959	0.235294	0.410959	1.000000	0.104167	0.142857	0.090909	0.200000	0.148936	0.191919	0.265823	0.301205	0.171429	0.106195	0.204082	0.090000	0.188889	0.275862	0.106061
D00961	0.076087	0.082353	0.085366	0.072289	0.086957	0.059524	0.072289	0.091837	0.082353	0.066667	0.093023	0.051546	0.061856	0.052239	0.066038	0.142857	0.053191	0.102273	0.104651	0.080460	0.059524	0.085106	0.059524	0.086957	0.081395	0.133333	0.096774	0.079208	0.338462	0.093750	0.088235	0.072727	0.114286	0.080645	0.098901	0.114943	0.076087	0.114943	0.104167	1.000000	0.113636	0.168831	0.102041	0.108696	0.120000	0.093023	0.085106	0.073394	0.155340	0.076923	0.084211	0.074468	0.105263	0.080645
D00962	0.065934	0.097561	0.074074	0.074074	0.076923	0.074074	0.074074	0.071429	0.097561	0.105882	0.057471	0.052632	0.041237	0.069231	0.088235	0.218750	0.054348	0.091954	0.107143	0.069767	0.074074	0.063830	0.048193	0.158730	0.058140	0.202899	0.157895	0.070000	0.103896	0.256098	0.135417	0.115385	0.225806	0.120690	0.076923	0.091954	0.102273	0.091954	0.142857	0.113636	1.000000	0.086420	0.081633	0.162791	0.089109	0.095238	0.075269	0.095238	0.125000	0.122449	0.188235	0.076087	0.157303	0.140351
D00965	0.072289	0.093333	0.128571	0.097222	0.084337	0.067568	0.097222	0.065934	0.078947	0.061728	0.090909	0.045455	0.056818	0.100840	0.095745	0.093750	0.047059	0.129870	0.062500	0.105263	0.067568	0.082353	0.082192	0.140351	0.092105	0.086957	0.074074	0.087912	0.400000	0.091954	0.074468	0.090909	0.079365	0.075472	0.058824	0.074074	0.085366	0.074074	0.090909	0.168831	0.086420	1.000000	0.088889	0.095238	0.120879	0.105263	0.069767	0.091837	0.079208	0.085106	0.068966	0.045977	0.091954	0.036364
D01115	0.175824	0.282051	0.168675	0.293333	0.301205	0.114943	0.154762	0.138614	0.204819	0.155556	0.228916	0.122449	0.132653	0.111940	0.234694	0.100000	0.126316	0.166667	0.084211	0.324675	0.114943	0.447368	0.212500	0.077922	0.160920	0.094118	0.055556	0.206186	0.079545	0.097087	0.053097	0.200000	0.102564	0.071429	0.125000	0.193182	0.289157	0.193182	0.200000	0.102041	0.081633	0.088889	1.000000	0.111111	0.142857	0.243902	0.182796	0.237624	0.076271	0.224490	0.067308	0.123711	0.177083	0.056338
D01132	0.097826	0.119048	0.137500	0.109756	0.120879	0.137500	0.123457	0.079208	0.119048	0.101124	0.116279	0.072165	0.082474	0.091603	0.105769	0.188406	0.074468	0.125000	0.168675	0.103448	0.137500	0.106383	0.109756	0.115942	0.130952	0.129870	0.147541	0.110000	0.098765	0.150538	0.118812	0.121495	0.230769	0.112903	0.085106	0.125000	0.134831	0.125000	0.148936	0.108696	0.162791	0.095238	0.111111	1.000000	0.117647	0.116279	0.142857	0.122642	0.152381	0.163265	0.166667	0.107527	0.150538	0.095238
D01161	0.193548	0.181818	0.311688	0.262500	0.154639	0.086022	0.442857	0.155340	0.195402	0.186813	0.164835	0.117647	0.138614	0.100719	0.126126	0.108434	0.132653	0.211111	0.091837	0.177778	0.086022	0.163265	0.147727	0.087500	0.280488	0.089888	0.126761	0.152381	0.112360	0.103774	0.069565	0.130435	0.097561	0.112676	0.142857	0.147368	0.132653	0.147368	0.191919	0.120000	0.089109	0.120879	0.142857	0.117647	1.000000	0.177778	0.128713	0.141593	0.091667	0.127273	0.127451	0.118812	0.329545	0.082192
D01217	0.207792	0.592593	0.220588	0.406780	0.305556	0.152778	0.220588	0.122222	0.409836	0.200000	0.257143	0.129412	0.127907	0.125000	0.175824	0.088235	0.134146	0.181818	0.098765	0.294118	0.152778	0.315068	0.202899	0.095238	0.175676	0.082192	0.068966	0.211765	0.094595	0.112360	0.060606	0.166667	0.090909	0.070175	0.132530	0.229730	0.328571	0.229730	0.265823	0.093023	0.095238	0.105263	0.243902	0.116279	0.177778	1.000000	0.200000	0.193548	0.066038	0.232558	0.065934	0.144578	0.207317	0.070175
D01294	0.147727	0.236842	0.213333	0.213333	0.228916	0.137500	0.197368	0.101010	0.205128	0.139535	0.454545	0.106383	0.105263	0.117188	0.161616	0.093333	0.109890	0.207317	0.089888	0.185185	0.137500	0.209302	0.213333	0.069444	0.319444	0.087500	0.060606	0.180851	0.085366	0.091837	0.056075	0.153846	0.095890	0.061538	0.120879	0.356164	0.311688	0.356164	0.301205	0.085106	0.075269	0.069767	0.182796	0.142857	0.128713	0.200000	1.000000	0.178218	0.080357	0.225806	0.071429	0.256098	0.215909	0.061538
D01387	0.137255	0.211111	0.164835	0.218391	0.244681	0.139785	0.152174	0.127273	0.172043	0.141414	0.168421	0.122642	0.121495	0.120567	0.354167	0.114943	0.126214	0.163265	0.108911	0.337349	0.139785	0.202020	0.152174	0.082353	0.134021	0.085106	0.062500	0.188679	0.072165	0.099099	0.057851	0.391753	0.104651	0.050000	0.158416	0.163265	0.234043	0.163265	0.171429	0.073394	0.095238	0.091837	0.237624	0.122642	0.141593	0.193548	0.178218	1.000000	0.079365	0.303030	0.090909	0.134615	0.184466	0.063291
D01441	0.053571	0.067308	0.102041	0.058824	0.072072	0.080000	0.080000	0.041322	0.067308	0.055046	0.076190	0.043103	0.042735	0.111111	0.081967	0.112360	0.044248	0.104762	0.106796	0.056075	0.080000	0.090090	0.080000	0.080460	0.087379	0.118280	0.101266	0.057851	0.139785	0.137615	0.203704	0.122951	0.114943	0.088608	0.043860	0.074074	0.072727	0.074074	0.106195	0.155340	0.125000	0.079208	0.076271	0.152381	0.091667	0.066038	0.080357	0.079365	1.000000	0.091667	0.161905	0.052632	0.127273	0.061728
