	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341
D00596	0.414783	0.463013	0.467666	0.467666	0.427415	0.477114	0.458406	0.375311	0.453845	0.436049	0.436049	0.402524	0.390628	0.307279	0.382893	0.532592	0.414783	0.449329	0.449329	0.453845	0.477114	0.410656	0.467666	0.571209	0.431711	0.496585	0.543351	0.398519	0.458406	1.000000	0.423162	0.386741	0.543351	0.548812	0.402524	0.431711	0.440432	0.431711	0.463013	0.418952	0.543351	0.453845	0.394554	0.453845	0.386741	0.453845	0.410656	0.367879	0.390628	0.394554	0.467666	0.398519	0.458406	0.548812
D00627	0.367879	0.402524	0.431711	0.406570	0.386741	0.423162	0.414783	0.332871	0.402524	0.386741	0.394554	0.349938	0.346456	0.272532	0.360595	0.501576	0.367879	0.390628	0.431711	0.386741	0.423162	0.364219	0.398519	0.527292	0.398519	0.449329	0.522046	0.339596	0.440432	0.423162	1.000000	0.343009	0.501576	0.506617	0.357007	0.398519	0.375311	0.398519	0.410656	0.394554	0.436049	0.418952	0.343009	0.410656	0.343009	0.394554	0.364219	0.319819	0.423162	0.364219	0.406570	0.375311	0.382893	0.537944
D00690	0.402524	0.467666	0.463013	0.491644	0.477114	0.410656	0.453845	0.364219	0.440432	0.414783	0.440432	0.382893	0.371577	0.280832	0.481909	0.467666	0.402524	0.444858	0.379083	0.506617	0.410656	0.431711	0.444858	0.472367	0.427415	0.427415	0.477114	0.410656	0.402524	0.386741	0.343009	1.000000	0.467666	0.472367	0.406570	0.427415	0.472367	0.427415	0.440432	0.360595	0.398519	0.406570	0.431711	0.390628	0.367879	0.449329	0.414783	0.554327	0.343009	0.496585	0.364219	0.394554	0.436049	0.481909
D00730	0.522046	0.559898	0.576950	0.576950	0.527292	0.565525	0.576950	0.472367	0.559898	0.527292	0.537944	0.477114	0.491644	0.349938	0.481909	0.711770	0.491644	0.543351	0.588605	0.537944	0.565525	0.506617	0.554327	0.677057	0.543351	0.663650	0.755784	0.481909	0.600496	0.543351	0.501576	0.467666	1.000000	0.733447	0.496585	0.543351	0.543351	0.543351	0.516851	0.537944	0.618783	0.559898	0.496585	0.606531	0.477114	0.548812	0.516851	0.463013	0.463013	0.506617	0.565525	0.522046	0.543351	0.763379
D00898	0.559898	0.600496	0.670320	0.618783	0.565525	0.618783	0.670320	0.516851	0.600496	0.554327	0.600496	0.543351	0.537944	0.382893	0.496585	0.690734	0.559898	0.582748	0.594521	0.588605	0.618783	0.543351	0.606531	0.711770	0.644036	0.683861	0.878095	0.516851	0.644036	0.548812	0.506617	0.472367	0.733447	1.000000	0.554327	0.571209	0.559898	0.571209	0.532592	0.565525	0.600496	0.612626	0.522046	0.576950	0.532592	0.588605	0.543351	0.467666	0.486752	0.501576	0.606531	0.548812	0.548812	0.740818
D00930	0.543351	0.506617	0.511709	0.532592	0.477114	0.511709	0.532592	0.704688	0.527292	0.537944	0.486752	0.740818	0.677057	0.304221	0.418952	0.516851	0.763379	0.463013	0.427415	0.496585	0.511709	0.458406	0.522046	0.511709	0.491644	0.501576	0.548812	0.410656	0.472367	0.402524	0.357007	0.406570	0.496585	0.554327	1.000000	0.491644	0.472367	0.491644	0.449329	0.440432	0.431711	0.449329	0.431711	0.423162	0.431711	0.486752	0.449329	0.427415	0.336216	0.431711	0.394554	0.472367	0.481909	0.543351
D00950	0.496585	0.600496	0.582748	0.618783	0.576950	0.496585	0.559898	0.449329	0.532592	0.491644	0.860708	0.453845	0.458406	0.307279	0.467666	0.532592	0.467666	0.537944	0.467666	0.588605	0.496585	0.522046	0.559898	0.582748	0.644036	0.486752	0.588605	0.548812	0.486752	0.431711	0.398519	0.427415	0.543351	0.571209	0.491644	1.000000	0.548812	1.000000	0.650509	0.463013	0.453845	0.472367	0.491644	0.463013	0.444858	0.565525	0.625002	0.440432	0.367879	0.491644	0.414783	0.711770	0.496585	0.582748
D00951	0.506617	0.663650	0.582748	0.657047	0.612626	0.516851	0.537944	0.431711	0.576950	0.501576	0.612626	0.444858	0.440432	0.339596	0.467666	0.532592	0.477114	0.559898	0.467666	0.588605	0.516851	0.600496	0.582748	0.537944	0.559898	0.506617	0.554327	0.506617	0.477114	0.440432	0.375311	0.472367	0.543351	0.559898	0.472367	0.548812	1.000000	0.548812	0.522046	0.427415	0.453845	0.472367	0.554327	0.463013	0.427415	0.625002	0.588605	0.486752	0.360595	0.543351	0.423162	0.477114	0.516851	0.559898
D00954	0.496585	0.600496	0.582748	0.618783	0.576950	0.496585	0.559898	0.449329	0.532592	0.491644	0.860708	0.453845	0.458406	0.307279	0.467666	0.532592	0.467666	0.537944	0.467666	0.588605	0.496585	0.522046	0.559898	0.582748	0.644036	0.486752	0.588605	0.548812	0.486752	0.431711	0.398519	0.427415	0.543351	0.571209	0.491644	1.000000	0.548812	1.000000	0.650509	0.463013	0.453845	0.472367	0.491644	0.463013	0.444858	0.565525	0.625002	0.440432	0.367879	0.491644	0.414783	0.711770	0.496585	0.582748
D00956	0.491644	0.606531	0.554327	0.612626	0.527292	0.481909	0.576950	0.410656	0.537944	0.506617	0.670320	0.431711	0.427415	0.310367	0.436049	0.506617	0.444858	0.522046	0.453845	0.516851	0.481909	0.486752	0.522046	0.554327	0.511709	0.481909	0.537944	0.481909	0.463013	0.463013	0.410656	0.440432	0.516851	0.532592	0.449329	0.650509	0.522046	0.650509	1.000000	0.423162	0.458406	0.449329	0.467666	0.449329	0.449329	0.559898	0.559898	0.418952	0.364219	0.458406	0.402524	0.481909	0.532592	0.554327
D00961	0.427415	0.458406	0.472367	0.463013	0.431711	0.453845	0.463013	0.410656	0.458406	0.431711	0.458406	0.398519	0.402524	0.280832	0.371577	0.548812	0.410656	0.453845	0.463013	0.449329	0.453845	0.423162	0.453845	0.532592	0.453845	0.522046	0.571209	0.394554	0.650509	0.418952	0.394554	0.360595	0.537944	0.565525	0.440432	0.463013	0.427415	0.463013	0.423162	1.000000	0.458406	0.527292	0.414783	0.440432	0.414783	0.458406	0.423162	0.364219	0.418952	0.382893	0.418952	0.418952	0.427415	0.565525
D00962	0.427415	0.477114	0.472367	0.472367	0.431711	0.472367	0.472367	0.402524	0.477114	0.467666	0.440432	0.406570	0.394554	0.298197	0.394554	0.606531	0.418952	0.453845	0.472367	0.449329	0.472367	0.414783	0.453845	0.588605	0.444858	0.576950	0.618783	0.394554	0.501576	0.543351	0.436049	0.398519	0.618783	0.600496	0.431711	0.453845	0.453845	0.453845	0.458406	0.458406	1.000000	0.477114	0.406570	0.486752	0.398519	0.467666	0.423162	0.386741	0.402524	0.423162	0.501576	0.427415	0.472367	0.612626
D00965	0.463013	0.506617	0.543351	0.522046	0.467666	0.501576	0.522046	0.427415	0.496585	0.467666	0.496585	0.431711	0.436049	0.343009	0.427415	0.559898	0.444858	0.511709	0.472367	0.506617	0.501576	0.458406	0.511709	0.612626	0.501576	0.532592	0.606531	0.436049	0.718924	0.453845	0.418952	0.406570	0.559898	0.612626	0.449329	0.472367	0.472367	0.472367	0.449329	0.527292	0.477114	1.000000	0.440432	0.467666	0.449329	0.506617	0.449329	0.410656	0.394554	0.423162	0.444858	0.436049	0.453845	0.588605
D01115	0.472367	0.571209	0.501576	0.588605	0.559898	0.463013	0.491644	0.418952	0.516851	0.467666	0.527292	0.423162	0.427415	0.304221	0.472367	0.486752	0.436049	0.472367	0.418952	0.594521	0.463013	0.657047	0.532592	0.491644	0.481909	0.463013	0.506617	0.463013	0.444858	0.394554	0.343009	0.431711	0.496585	0.522046	0.431711	0.491644	0.554327	0.491644	0.467666	0.414783	0.406570	0.440432	1.000000	0.414783	0.406570	0.537944	0.467666	0.463013	0.336216	0.467666	0.379083	0.427415	0.453845	0.511709
D01132	0.436049	0.477114	0.501576	0.481909	0.449329	0.501576	0.491644	0.394554	0.477114	0.449329	0.467666	0.406570	0.410656	0.304221	0.394554	0.571209	0.418952	0.463013	0.501576	0.458406	0.501576	0.431711	0.481909	0.543351	0.481909	0.511709	0.594521	0.410656	0.481909	0.453845	0.410656	0.390628	0.606531	0.576950	0.423162	0.463013	0.463013	0.463013	0.449329	0.440432	0.486752	0.467666	0.414783	1.000000	0.406570	0.467666	0.458406	0.394554	0.410656	0.440432	0.472367	0.436049	0.453845	0.565525
D01161	0.472367	0.486752	0.588605	0.554327	0.440432	0.427415	0.677057	0.418952	0.496585	0.477114	0.467666	0.406570	0.418952	0.286505	0.379083	0.477114	0.427415	0.491644	0.410656	0.477114	0.427415	0.440432	0.472367	0.481909	0.554327	0.444858	0.537944	0.410656	0.453845	0.386741	0.343009	0.367879	0.477114	0.532592	0.431711	0.444858	0.427415	0.444858	0.449329	0.414783	0.398519	0.449329	0.406570	0.406570	1.000000	0.477114	0.414783	0.379083	0.336216	0.382893	0.410656	0.410656	0.554327	0.511709
D01217	0.543351	0.802519	0.588605	0.704688	0.606531	0.543351	0.588605	0.453845	0.697676	0.548812	0.594521	0.477114	0.472367	0.349938	0.472367	0.537944	0.491644	0.532592	0.481909	0.618783	0.543351	0.606531	0.576950	0.565525	0.543351	0.511709	0.582748	0.511709	0.511709	0.453845	0.394554	0.449329	0.548812	0.588605	0.486752	0.565525	0.625002	0.565525	0.559898	0.458406	0.467666	0.506617	0.537944	0.467666	0.477114	1.000000	0.527292	0.472367	0.371577	0.516851	0.427415	0.491644	0.522046	0.588605
D01294	0.472367	0.559898	0.554327	0.554327	0.527292	0.501576	0.543351	0.410656	0.537944	0.477114	0.697676	0.431711	0.427415	0.323033	0.436049	0.506617	0.444858	0.522046	0.444858	0.516851	0.501576	0.506617	0.554327	0.511709	0.612626	0.481909	0.537944	0.463013	0.472367	0.410656	0.364219	0.414783	0.516851	0.543351	0.449329	0.625002	0.588605	0.625002	0.559898	0.423162	0.423162	0.449329	0.467666	0.458406	0.414783	0.527292	1.000000	0.436049	0.357007	0.486752	0.402524	0.543351	0.501576	0.543351
D01387	0.414783	0.491644	0.467666	0.506617	0.491644	0.449329	0.458406	0.382893	0.463013	0.427415	0.453845	0.394554	0.390628	0.289384	0.537944	0.463013	0.406570	0.440432	0.406570	0.576950	0.449329	0.453845	0.458406	0.458406	0.431711	0.423162	0.472367	0.423162	0.406570	0.367879	0.319819	0.554327	0.463013	0.467666	0.427415	0.440432	0.486752	0.440432	0.418952	0.364219	0.386741	0.410656	0.463013	0.394554	0.379083	0.472367	0.436049	1.000000	0.313486	0.501576	0.367879	0.406570	0.431711	0.477114
D01441	0.346456	0.379083	0.414783	0.382893	0.357007	0.398519	0.398519	0.313486	0.379083	0.357007	0.379083	0.329559	0.326280	0.278037	0.326280	0.453845	0.339596	0.390628	0.398519	0.364219	0.398519	0.364219	0.398519	0.449329	0.390628	0.440432	0.491644	0.319819	0.449329	0.390628	0.423162	0.343009	0.463013	0.486752	0.336216	0.367879	0.360595	0.367879	0.364219	0.418952	0.402524	0.394554	0.336216	0.410656	0.336216	0.371577	0.357007	0.313486	1.000000	0.336216	0.414783	0.339596	0.382893	0.467666
